1,1271
3,1279
1,1281
1,1295
1,1303
1,1361
5,1365
5,1377
2,1427
1,1433
2,1527
2,1545
3,1559
5,1565
2,1635
1,1653
5,1679
2,1681
2,1817
1,1875
1,1909
1,1973
3,1987
1,2097
3,2119
1,2221
1,2229
1,2363
1,2489
1,2521
3,2719
5,2751
2,2793
3,2819
1,2897
1,2987
2,3181
5,3247
3,3273
5,3339
1,3425
5,3791
3,3835
2,3923
5,4621
5,4961
2,5115
3,5467
2,6111
5,6921
2,7077
3,7475
2,7483
5,7651
3,7849
5,8369
2,9139
5,9669
5,9933
2,10111
5,10501
2,10515
5,11139
2,12457
2,14931
2,15197
2,15319
3,15815
5,15841
5,16049
2,16695
5,17417
2,17871
2,18699
3,20379
3,22049
3,22913
3,23917
5,30083
3,31127
5,33515
2,34645
3,39615
****107
5,359
2,375
5,403
3,407
2,453
3,511
3,543
5,589
2,645
2,659
3,699
2,711
5,787
3,787
1,797
1,811
2,815
5,827
1,835
5,841
1,935
5,953
2,975
5,1059
1,1077
3,1133
2,1147
1,1147
1,1171
1,1273
1,1297
1,1319
3,1333
